b_value,hll_avg_estimate,hll_theoretical_se,hll_execution_time,actual_cardinality
8,551.0,0.044892037078096615,0.4029692649841309,9425
10,3189.8,0.0225168986975638,0.40493154525756836,9425
12,9499.4,0.011267344369000452,0.3981656551361084,9425
14,9397.6,0.005634785160327881,0.4145204067230225,9425
16,9453.0,0.002817531736499883,0.40238471031188966,9425
