k_value,rec_avg_estimate,rec_se,rec_execution_time,actual_cardinality
8,69474.90544652558,0.35355339059327373,8.34408392906189,17475
16,31276.880996756467,0.25,17.440422010421752,17475
32,18683.867428492344,0.17677669529663687,136.0685610294342,17475
64,11529.8989097449,0.125,59.9084153175354,17475
128,12723.381882300104,0.08838834764831843,428.74946041107177,17475
