b_value,hll_avg_estimate,hll_theoretical_se,hll_execution_time,actual_cardinality
8,551.0,0.044892037078096615,1.4576378345489502,17475
10,2213.0,0.0225168986975638,1.4945510864257812,17475
12,17161.4,0.011267344369000452,1.5324501514434814,17475
14,17470.8,0.005634785160327881,1.4726405620574952,17475
16,17520.4,0.002817531736499883,1.4776842594146729,17475
